Step       Direction       FrameID        Data                 TimeStamp
1           Send:          070E     10 03                   2018\5\10\16:07:34:176
2           Receive:       078E     50 03 00 32 01 F4       2018\5\10\16:07:34:180
3           Send:          070E     3E 00                   2018\5\10\16:07:34:187
4           Receive:       078E     7E 00                   2018\5\10\16:07:34:200
5           Send:          07DF     85 02                   2018\5\10\16:07:34:219
6           Receive:       078E     C5 02                   2018\5\10\16:07:34:230
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00          
114         Receive:       078E     76 07                   2018\5\10\16:07:40:306
115         Send:          070E     36 08 FF 00 FF 00 FF    2018\5\10\16:07:40:323
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
                                    FF 00 FF 00 FF 00 FF 
                                    00 FF 00 FF 00 FF 00 
